run_id,num_nodes,array_size,message_host,rank,message_time

1,72,1000000,arch08,1,0.00206469
1,72,1000000,arch08,2,0.00318203
1,72,1000000,arch08,3,0.00357305
1,72,1000000,arch08,4,0.00517457
1,72,1000000,arch08,5,0.00537176
1,72,1000000,arch08,6,0.00628451
1,72,1000000,arch08,7,0.00666735
1,72,1000000,arch05,45,0.0451812
1,72,1000000,arch05,46,0.0817661
1,72,1000000,arch05,47,0.115508
1,72,1000000,arch06,48,0.14771
1,72,1000000,arch06,49,0.183212
1,72,1000000,arch06,50,0.218495
1,72,1000000,arch06,51,0.254111
1,72,1000000,arch06,52,0.288796
1,72,1000000,arch06,53,0.32267
1,72,1000000,arch06,54,0.353936
1,72,1000000,arch06,55,0.391409
1,72,1000000,arch07,56,0.42773
1,72,1000000,arch07,57,0.462733
1,72,1000000,arch07,58,0.497506
1,72,1000000,arch07,59,0.53285
1,72,1000000,arch07,60,0.567309
1,72,1000000,arch07,61,0.602254
1,72,1000000,arch07,62,0.637191
1,72,1000000,arch07,63,0.671967
1,72,1000000,arch10,64,0.704916
1,72,1000000,arch10,65,0.741177
1,72,1000000,arch10,66,0.775684
1,72,1000000,arch10,67,0.806112
1,72,1000000,arch10,68,0.843748
1,72,1000000,arch10,69,0.878147
1,72,1000000,arch10,70,0.915256
1,72,1000000,arch10,71,0.948282
1,72,1000000,arch01,8,0.985221
1,72,1000000,arch01,9,1.02012
1,72,1000000,arch01,10,1.05522
1,72,1000000,arch01,11,1.09162
1,72,1000000,arch01,12,1.12657
1,72,1000000,arch01,13,1.16168
1,72,1000000,arch01,14,1.19609
1,72,1000000,arch01,15,1.23244
1,72,1000000,arch02,16,1.26384
1,72,1000000,arch02,17,1.29686
1,72,1000000,arch02,18,1.33487
1,72,1000000,arch02,19,1.36834
1,72,1000000,arch02,20,1.40494
1,72,1000000,arch02,21,1.43566
1,72,1000000,arch02,22,1.4723
1,72,1000000,arch02,23,1.50729
1,72,1000000,arch03,24,1.54227
1,72,1000000,arch03,25,1.57697
1,72,1000000,arch03,26,1.61402
1,72,1000000,arch03,27,1.64759
1,72,1000000,arch03,28,1.68124
1,72,1000000,arch03,29,1.71735
1,72,1000000,arch03,30,1.7495
1,72,1000000,arch03,31,1.78891
1,72,1000000,arch04,32,1.82237
1,72,1000000,arch04,33,1.85486
1,72,1000000,arch04,34,1.89224
1,72,1000000,arch04,35,1.92535
1,72,1000000,arch04,36,1.95975
1,72,1000000,arch04,37,1.99569
1,72,1000000,arch04,38,2.02884
1,72,1000000,arch04,39,2.06439
1,72,1000000,arch05,40,2.09845
1,72,1000000,arch05,41,2.1345
1,72,1000000,arch05,42,2.16778
1,72,1000000,arch05,43,2.20493
1,72,1000000,arch05,44,2.23973
2,72,1000000,arch08,4,0.00176575
2,72,1000000,arch08,5,0.00292553
2,72,1000000,arch08,6,0.00286871
2,72,1000000,arch08,7,0.00298797
2,72,1000000,arch08,1,0.00584392
