num_nodes,array_size,message_host,rank,message_time
72,100000,arch04,38,0.133984
72,100000,arch04,39,0.137728
72,100000,arch05,40,0.142777
72,100000,arch05,41,0.147128
72,100000,arch05,42,0.151614
72,100000,arch05,43,0.155776
72,100000,arch05,44,0.159299
72,100000,arch05,45,0.163882
72,100000,arch05,46,0.167488
72,100000,arch05,47,0.172098
72,100000,arch06,48,0.174783
72,100000,arch06,49,0.178775
72,100000,arch06,50,0.182684
72,100000,arch06,51,0.186863
72,100000,arch06,52,0.190673
72,100000,arch06,53,0.194898
72,100000,arch06,54,0.198823
72,100000,arch06,55,0.202714
72,100000,arch07,56,0.206215
72,100000,arch07,57,0.210559
72,100000,arch07,58,0.214929
72,100000,arch07,59,0.21924
72,100000,arch07,60,0.223401
72,100000,arch07,61,0.227656
72,100000,arch07,62,0.231935
72,100000,arch07,63,0.236097
72,100000,arch10,64,0.240919
72,100000,arch10,65,0.244998
72,100000,arch10,66,0.248846
72,100000,arch10,67,0.252999
72,100000,arch10,68,0.257233
72,100000,arch10,69,0.261605
72,100000,arch10,70,0.266654
72,100000,arch10,71,0.270967
72,1000000,arch08,1,0.000810324
72,1000000,arch08,2,0.00259288
72,1000000,arch08,3,0.00368238
72,1000000,arch08,4,0.0045938
72,1000000,arch08,5,0.00550034
72,1000000,arch08,6,0.00654345
72,1000000,arch08,7,0.00735837
72,1000000,arch01,8,0.0399007
72,1000000,arch01,9,0.0760956
72,1000000,arch01,10,0.110141
72,1000000,arch01,11,0.145031
72,1000000,arch01,12,0.179464
72,1000000,arch01,13,0.219287
72,1000000,arch01,14,0.254281
72,1000000,arch01,15,0.289519
72,1000000,arch02,16,0.319489
72,1000000,arch02,17,0.355734
72,1000000,arch02,18,0.391682
72,1000000,arch02,19,0.420336
72,1000000,arch02,20,0.45972
72,1000000,arch02,21,0.493645
72,1000000,arch02,22,0.526545
72,1000000,arch02,23,0.562404
72,1000000,arch03,24,0.598179
72,1000000,arch03,25,0.63138
72,1000000,arch03,26,0.664651
72,1000000,arch03,27,0.70246
72,1000000,arch03,28,0.736622
72,1000000,arch03,29,0.771386
72,1000000,arch03,30,0.806469
72,1000000,arch03,31,0.837941
72,1000000,arch04,32,0.875778
72,1000000,arch04,33,0.906933
72,1000000,arch04,34,0.940003
72,1000000,arch04,35,0.97682
72,1000000,arch04,36,1.01189
72,1000000,arch04,37,1.04846
72,1000000,arch04,38,1.08031
72,1000000,arch04,39,1.11591
72,1000000,arch05,40,1.15197
72,1000000,arch05,41,1.18804
72,1000000,arch05,42,1.22147
72,1000000,arch05,43,1.25619
72,1000000,arch05,44,1.29176
72,1000000,arch05,45,1.32691
72,1000000,arch05,46,1.36129
72,1000000,arch05,47,1.39338
72,1000000,arch06,48,1.43023
72,1000000,arch06,49,1.46276
72,1000000,arch06,50,1.50039
72,1000000,arch06,51,1.53498
72,1000000,arch06,52,1.5685
72,1000000,arch06,53,1.60591
72,1000000,arch06,54,1.63914
72,1000000,arch06,55,1.6735
72,1000000,arch07,56,1.70985
72,1000000,arch07,57,1.74456
72,1000000,arch07,58,1.78001
72,1000000,arch07,59,1.81486
72,1000000,arch07,60,1.84863
72,1000000,arch07,61,1.88464
72,1000000,arch07,62,1.92157
72,1000000,arch07,63,1.95599
72,1000000,arch10,64,1.98848
72,1000000,arch10,65,2.02171
72,1000000,arch10,66,2.0571
72,1000000,arch10,67,2.09266
72,1000000,arch10,68,2.1245
72,1000000,arch10,69,2.16147
72,1000000,arch10,70,2.19803
72,1000000,arch10,71,2.23161
